text,label
"Congratulations! You've won a free gift card. Click here to claim now",1
"Earn money fast from home with this simple trick",1
"Limited time offer, buy now and save big",1
"Reminder: team meeting at 10am tomorrow",0
"Can we reschedule our lunch to next week?",0
"Your invoice for last month is attached",0
"Get cheap meds without prescription",1
"Let's review the project plan this afternoon",0
"You have been selected for a prize, act now",1
"Please find the updated report in the shared folder",0
